Canal;Inscritos;Visualizações
Site Arqueologia Egípcia;13438;406590
Terra Negra;35241;868235
Frank Jaava;31680;2856508
Dispersciência;25100;150000
Olá Ciência;32788;1575456
A matemaníaca por Julia Jaccoud;65453;1667892
Delta T - Os super lentos;12000;171361
Bláblálogia;161951;11027386
Efarsas;78876;6226235
Minuto da Terra;274196;30166457
Canal Cura Quântica;13148;250020
Mensageiro Sideral;72425;7551491
Universo Racionalista;7858;43662
Xadrez Verbal;110549;4151548
Reinaldo José Lopes;11188;541832
Bio's Fera;5299;44312
QuerQueDesenhe;56006;1329268
Prof André Azevedo da Fonseca;45756;1825724
Matemática Rio com Prof Rafael Procópio;1423056;93036517
Ponto em Comum;129466;5027880
Canal do Slow;137409;5363423
Boteco Behaviorista;18404;1427977
Papo de Primata;42063;1111334
Minutos Psíquicos;648892;22555134
Alimente o Cérebro;135118;3375528
Canal Zoa;9118;683190
Papo de Biólogo;374057;12139385
Eu, Ciência;88211;1616496
Peixe Babel;nan;nan
SpaceToday;321068;26277335
Ciência todo dia;528761;16969332
Colecionadores de Ossos;24894;806815
Canal do Pirula;752573;76462787
Jornal Ciensacional;6216;104217
iBioMovies - Canal de Biologia;17388;563535
Primata Falante;110840;4540321
Dragões de Garagem;6421;82599
Café e Ciência;38494;916320
Mimimidias;66122;2009621
Schwarza - Poligonautas;860493;118741623
Caio na Aula;13661;748018
ComCiência Corporal;2308;16150
Leitura ObrigaHISTORIA;138132;3013264
Portal da Ciência;64100;2139717
Universo Discreto;2330;74680
Astrotubers;4357;41228
O Físico Turista;53838;1004921
